id,group,unit,delay
1,1,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
2,1,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
3,1,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,8
4,1,model://3b308c48-d7a0-420c-99bf-502e034642ad,2
5,1,model://3b308c48-d7a0-420c-99bf-502e034642ad,13
6,1,model://f2205e74-b8c8-4103-a768-59b58f8e2f55,1
7,1,model://f2205e74-b8c8-4103-a768-59b58f8e2f55,0
8,2,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
9,2,model://f2205e74-b8c8-4103-a768-59b58f8e2f55,1
10,2,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
11,2,model://f2205e74-b8c8-4103-a768-59b58f8e2f55,1
12,2,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,9
13,2,model://3b308c48-d7a0-420c-99bf-502e034642ad,2
14,2,model://3b308c48-d7a0-420c-99bf-502e034642ad,12
15,2,model://eacb328a-428a-474c-b7e3-cb313b099806,2
16,2,model://f37a2185-c6a9-43b6-90ea-75d69a3305f4,0
17,3,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
18,3,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
19,3,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,4
20,3,model://3b308c48-d7a0-420c-99bf-502e034642ad,2
21,3,model://3b308c48-d7a0-420c-99bf-502e034642ad,2
22,3,model://3b308c48-d7a0-420c-99bf-502e034642ad,10
23,3,model://eacb328a-428a-474c-b7e3-cb313b099806,2
24,3,model://eacb328a-428a-474c-b7e3-cb313b099806,12
25,3,model://f37a2185-c6a9-43b6-90ea-75d69a3305f4,2
26,3,model://f37a2185-c6a9-43b6-90ea-75d69a3305f4,0
27,4,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
28,4,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
29,4,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,3
30,4,model://3b308c48-d7a0-420c-99bf-502e034642ad,2
31,4,model://3b308c48-d7a0-420c-99bf-502e034642ad,2
32,4,model://3b308c48-d7a0-420c-99bf-502e034642ad,8
33,4,model://eacb328a-428a-474c-b7e3-cb313b099806,2
34,4,model://eacb328a-428a-474c-b7e3-cb313b099806,2
35,4,model://eacb328a-428a-474c-b7e3-cb313b099806,10
36,4,model://f37a2185-c6a9-43b6-90ea-75d69a3305f4,2
37,4,model://f37a2185-c6a9-43b6-90ea-75d69a3305f4,0
38,5,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
39,5,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
40,5,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,2
41,5,model://3b308c48-d7a0-420c-99bf-502e034642ad,1
42,5,model://3b308c48-d7a0-420c-99bf-502e034642ad,1
43,5,model://3b308c48-d7a0-420c-99bf-502e034642ad,6
44,5,model://eacb328a-428a-474c-b7e3-cb313b099806,1
45,5,model://eacb328a-428a-474c-b7e3-cb313b099806,1
46,5,model://eacb328a-428a-474c-b7e3-cb313b099806,8
47,5,model://f37a2185-c6a9-43b6-90ea-75d69a3305f4,1
48,5,model://f37a2185-c6a9-43b6-90ea-75d69a3305f4,0
