id,group,unit,delay
1,1,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
2,1,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,1
3,1,model://f2205e74-b8c8-4103-a768-59b58f8e2f55,2
4,1,model://3b308c48-d7a0-420c-99bf-502e034642ad,3
5,2,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,0.5
6,2,model://f2205e74-b8c8-4103-a768-59b58f8e2f55,0.5
7,2,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,0.5
8,2,model://f2205e74-b8c8-4103-a768-59b58f8e2f55,1
9,2,model://3b308c48-d7a0-420c-99bf-502e034642ad,1
10,2,model://eacb328a-428a-474c-b7e3-cb313b099806,2
11,3,model://af857ac1-d3ad-4509-b262-6a938c2a717c,1
12,3,model://f37a2185-c6a9-43b6-90ea-75d69a3305f4,1
13,3,model://eacb328a-428a-474c-b7e3-cb313b099806,1
14,3,model://3b308c48-d7a0-420c-99bf-502e034642ad,2
15,3,model://af857ac1-d3ad-4509-b262-6a938c2a717c,2
