id,modelID,name
1,model://3b308c48-d7a0-420c-99bf-502e034642ad,슬라임
2,model://5aac7c14-9173-4d47-96f1-5fc5429e36c4,스텀프
3,model://f2205e74-b8c8-4103-a768-59b58f8e2f55,버섯
4,model://af857ac1-d3ad-4509-b262-6a938c2a717c,주황버섯
5,model://4a6f379a-312c-4ba4-8837-8b4a2a117b60,리본돼지
6,model://eacb328a-428a-474c-b7e3-cb313b099806,파란달팽이
7,model://f37a2185-c6a9-43b6-90ea-75d69a3305f4,초록버섯
8,model://1b9eb727-5294-4a6e-ba66-247dca5b9a5a,좀비버섯
9,model://62f3f55c-28fa-4151-bb73-39758b57801a,스톤골렘
10,model://1caf8be4-409c-44aa-8558-237d5046abe6,다크스톤골렘
11,model://96e0a3c4-6bdc-4618-b484-d336b13d56eb,아이언보어
12,model://397e3aa9-6cbf-4950-a18a-51c62a559dfb,와일드보어
13,model://acbba4d1-8524-4ad2-9d8e-ba8b94a7f5e6,파이어보어
14,model://c57eb6a8-03e3-4115-999a-8b8c607e79da,블루머쉬맘
15,model://23f0df68-18dd-472b-8bcd-82acc77cbd18,좀비머쉬맘
16,model://2e70488f-dc60-48d0-ad91-fd2dc035a7c6,주니어발록
