id,roundId,waveIndex,monsterIds,spawnDelays,spawnCounts,desc
1001,1,1,"1,2","3.0,4.0","5,3",라운드1-웨이브1: 슬라임5 스텀프3
1001,1,2,"2,3","3.0,4.0","4,4",라운드1-웨이브2: 스텀프4 버섯4
1001,1,3,"1,2,3","2.5,3.0,4.0","6,4,3",라운드1-웨이브3: 혼합 스폰
1002,2,1,"2,3","2.5,3.5","6,5",라운드2-웨이브1
1002,2,2,"3,4","2.5,3.5","5,5",라운드2-웨이브2
1002,2,3,"1,3,4","2.0,3.0,3.5","5,5,4",라운드2-웨이브3
1002,2,4,"2,3,4","2.0,2.5,3.0","6,5,5",라운드2-웨이브4
1003,3,1,"3,4","2.5,3.0","7,6",라운드3-웨이브1
1003,3,2,"4,5","2.5,3.0","6,6",라운드3-웨이브2
1003,3,3,"2,4,5","2.0,2.5,3.0","6,6,5",라운드3-웨이브3
1003,3,4,"3,4,5","2.0,2.5,3.0","7,6,5",라운드3-웨이브4
1003,3,5,"1,2,3,4,5","2.0,2.5,2.5,3.0,3.0","5,5,6,5,4",라운드3-웨이브5
2001,4,1,"4,5","2.5,3.0","8,7",라운드4-웨이브1
2001,4,2,"5,6","2.5,3.0","7,7",라운드4-웨이브2
2001,4,3,"4,5,6","2.0,2.5,3.0","7,7,6",라운드4-웨이브3
2001,4,4,"3,5,6","2.0,2.5,2.5","8,7,6",라운드4-웨이브4
2002,5,1,"5,6","2.0,2.5","9,8",라운드5-웨이브1
2002,5,2,"6,7","2.0,2.5","8,8",라운드5-웨이브2
2002,5,3,"5,6,7","2.0,2.5,2.5","8,8,7",라운드5-웨이브3
2002,5,4,"4,6,7","1.8,2.0,2.5","9,8,7",라운드5-웨이브4
2002,5,5,"5,6,7","1.8,2.0,2.5","9,8,7",라운드5-웨이브5
2003,6,1,"6,7","2.0,2.5","10,9",라운드6-웨이브1
2003,6,2,"7,8","2.0,2.5","9,9",라운드6-웨이브2
2003,6,3,"6,7,8","1.8,2.0,2.5","9,9,8",라운드6-웨이브3
2003,6,4,"5,7,8","1.8,2.0,2.5","10,9,8",라운드6-웨이브4
2003,6,5,"6,7,8","1.8,2.0,2.5","10,9,8",라운드6-웨이브5
2003,6,6,"4,5,6,7,8","1.5,1.8,2.0,2.0,2.5","8,8,9,8,7",라운드6-웨이브6
3001,7,1,"7,8","2.0,2.5","12,10",라운드7-웨이브1
3001,7,2,"8,9","2.0,2.5","10,10",라운드7-웨이브2
3001,7,3,"7,8,9","1.8,2.0,2.5","11,10,9",라운드7-웨이브3
3001,7,4,"6,8,9","1.8,2.0,2.5","12,10,9",라운드7-웨이브4
3001,7,5,"7,8,9","1.5,2.0,2.0","12,11,10",라운드7-웨이브5
3002,8,1,"8,9","1.8,2.0","14,12",라운드8-웨이브1
3002,8,2,"9,10","1.8,2.0","12,12",라운드8-웨이브2
3002,8,3,"8,9,10","1.5,1.8,2.0","13,12,11",라운드8-웨이브3
3002,8,4,"7,9,10","1.5,1.8,2.0","14,12,11",라운드8-웨이브4
3002,8,5,"8,9,10","1.5,1.8,2.0","14,13,12",라운드8-웨이브5
3002,8,6,"6,7,8,9,10","1.5,1.5,1.8,2.0,2.0","10,10,12,11,10",라운드8-웨이브6
3003,9,1,"9,10","1.8,2.0","15,13",라운드9-웨이브1
3003,9,2,"10,11","1.8,2.0","13,13",라운드9-웨이브2
3003,9,3,"9,10,11","1.5,1.8,2.0","14,13,12",라운드9-웨이브3
3003,9,4,"8,10,11","1.5,1.8,2.0","15,13,12",라운드9-웨이브4
3003,9,5,"9,10,11","1.5,1.8,2.0","15,14,13",라운드9-웨이브5
3003,9,6,"7,8,9,10,11","1.5,1.5,1.8,2.0,2.0","12,12,13,12,11",라운드9-웨이브6
3004,10,1,"10,11","1.5,1.8","16,14",라운드10-웨이브1
