레벨,최대 체력,공격력,가격
1,0,0,0
2,10,4,100
3,20,8,200
4,30,12,300
5,40,16,400
6,50,20,500
7,60,24,600
8,70,28,700
9,80,32,800
10,90,36,1000
11,100,40,1200
12,110,44,1400
13,120,48,1600
14,130,52,1800
15,140,56,2000
16,150,60,2200
17,160,64,2400
18,170,68,2600
19,180,72,2800
20,190,76,3000
21,200,80,3300
22,210,84,3600
23,220,88,3900
24,230,92,4200
25,240,96,4500
26,250,100,4800
27,260,104,5100
28,270,108,5400
29,280,112,5700
30,290,116,6000
31,300,120,6300
32,310,124,6600
33,320,128,6900
34,330,132,7200
35,340,136,7500
36,350,140,7800
37,360,144,8100
38,370,148,8400
39,380,152,8700
40,390,156,9000
41,400,160,9400
42,410,164,9800
43,420,168,10200
44,430,172,10600
45,440,176,11000
46,450,180,11400
47,460,184,11800
48,470,188,12200
49,480,192,12600
50,490,196,13000
51,500,200,13500
52,510,204,14000
53,520,208,14500
54,530,212,15000
55,540,216,15500
56,550,220,16000
57,560,224,16500
58,570,228,17000
59,580,232,17500
60,590,236,18000
61,600,240,18600
62,610,244,19200
63,620,248,19800
64,630,252,20400
65,640,256,21000
66,650,260,21600
67,660,264,22200
68,670,268,22800
69,680,272,23400
70,690,276,24000
71,700,280,24700
72,710,284,25400
73,720,288,26100
74,730,292,26800
75,740,296,27500
76,750,300,28200
77,760,304,28900
78,770,308,29600
79,780,312,30300
80,790,316,31000
81,800,320,31800
82,810,324,32600
83,820,328,33400
84,830,332,34200
85,840,336,35000
86,850,340,35800
87,860,344,36600
88,870,348,37400
89,880,352,38200
90,890,356,39000
91,900,360,39900
92,910,364,40800
93,920,368,41700
94,930,372,42600
95,940,376,43500
96,950,380,44400
97,960,384,45300
98,970,388,46200
99,980,392,47100
100,990,396,48000
