레벨,최대 체력,공격력,가격
1,0,0,0
2,5,8,100
3,10,16,200
4,15,24,300
5,20,32,400
6,25,40,500
7,30,48,600
8,35,56,700
9,40,64,800
10,45,72,1000
11,50,80,1200
12,55,88,1400
13,60,96,1600
14,65,104,1800
15,70,112,2000
16,75,120,2200
17,80,128,2400
18,85,136,2600
19,90,144,2800
20,95,152,3000
21,100,160,3300
22,105,168,3600
23,110,176,3900
24,115,184,4200
25,120,192,4500
26,125,200,4800
27,130,208,5100
28,135,216,5400
29,140,224,5700
30,145,232,6000
31,150,240,6300
32,155,248,660
33,160,256,690
34,165,264,720
35,170,272,750
36,175,280,780
37,180,288,810
38,185,296,840
39,190,304,870
40,195,312,900
41,200,320,940
42,205,328,980
43,210,336,1020
44,215,344,1060
45,220,352,1100
46,225,360,1140
47,230,368,1180
48,235,376,1220
49,240,384,1260
50,245,392,1300
