레벨,최대 체력,공격력,가격
1,0,0,0
2,20,7,10
3,40,14,20
4,60,21,30
5,80,28,40
6,100,35,50
7,120,42,60
8,140,49,70
9,160,56,80
10,180,63,100
11,200,70,120
12,220,77,140
13,240,84,160
14,260,91,180
15,280,98,200
16,300,105,220
17,320,112,240
18,340,119,260
19,360,126,280
20,380,133,300
21,400,140,330
22,420,147,360
23,440,154,390
24,460,161,420
25,480,168,450
26,500,175,480
27,520,182,510
28,540,189,540
29,560,196,570
30,580,203,600
31,600,210,630
32,620,217,660
33,640,224,690
34,660,231,720
35,680,238,750
36,700,245,780
37,720,252,810
38,740,259,840
39,760,266,870
40,780,273,900
41,800,280,940
42,820,287,980
43,840,294,1020
44,860,301,1060
45,880,308,1100
46,900,315,1140
47,920,322,1180
48,940,329,1220
49,960,336,1260
50,980,343,1300
