레벨,최대 체력,공격력,가격
1,0,0,0
2,80,6,100
3,160,12,200
4,240,18,300
5,320,24,400
6,400,30,500
7,480,36,600
8,560,42,700
9,640,48,800
10,720,54,1000
11,800,60,1200
12,880,66,1400
13,960,72,1600
14,1040,78,1800
15,1120,84,2000
16,1200,90,2200
17,1280,96,2400
18,1360,102,2600
19,1440,108,2800
20,1520,114,3000
21,1600,120,3300
22,1680,126,3600
23,1760,132,3900
24,1840,138,4200
25,1920,144,4500
26,2000,150,4800
27,2080,156,5100
28,2160,162,5400
29,2240,168,5700
30,2320,174,6000
31,2400,180,6300
32,2480,186,660
33,2560,192,690
34,2640,198,720
35,2720,204,750
36,2800,210,780
37,2880,216,810
38,2960,222,840
39,3040,228,870
40,3120,234,900
41,3200,240,940
42,3280,246,980
43,3360,252,1020
44,3440,258,1060
45,3520,264,1100
46,3600,270,1140
47,3680,276,1180
48,3760,282,1220
49,3840,288,1260
50,3920,294,1300
